,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
159,Mississippi Valley State,29,19,10,.655,-10.55,-12.99,11,3,,,,,2413,2280,,,105.1,.304,.455,.486,50.6,50.6,13.4,7.1,.463,15.0,43.0,.188
160,Mississippi NCAA,29,20,9,.690,11.34,5.69,11,5,,,,,2001,1841,,,103.0,.371,.277,.511,53.4,54.0,11.3,10.0,.478,17.2,40.3,.245
161,Missouri-Kansas City,27,10,17,.370,-10.37,-3.25,7,9,,,,,1905,2039,,,97.2,.299,.262,.518,49.5,55.6,10.5,7.3,.492,20.9,36.9,.200
162,Missouri State,33,24,9,.727,6.55,2.49,12,6,,,,,2505,2371,,,106.8,.459,.260,.565,50.9,66.3,9.0,6.8,.522,17.9,32.5,.333
163,Missouri,33,16,17,.485,8.96,7.78,5,11,,,,,2440,2381,,,101.0,.415,.296,.550,50.1,62.8,10.4,5.4,.501,20.0,33.2,.314
164,Monmouth,29,18,11,.621,-1.00,-6.41,12,6,,,,,2064,1907,,,105.5,.411,.264,.568,51.0,63.0,13.1,7.8,.528,19.4,32.8,.302
165,Montana State,30,16,14,.533,-3.47,-3.27,10,6,,,,,2290,2260,,,102.7,.315,.275,.535,48.5,67.9,10.9,5.7,.503,17.8,33.0,.223
166,Montana NCAA,32,21,11,.656,0.54,-3.17,11,5,,,,,2339,2192,,,102.1,.378,.211,.534,51.6,55.6,11.4,7.1,.510,19.6,38.1,.239
167,Morehead State,27,8,19,.296,-16.11,-7.15,6,12,,,,,2206,2346,,,103.5,.289,.404,.497,49.5,53.5,11.2,8.0,.467,15.4,38.8,.196
168,Morgan State,27,9,18,.333,-15.68,-7.61,8,10,,,,,1829,2047,,,90.1,.346,.300,.479,47.2,52.4,12.6,7.4,.456,21.3,36.6,.202
169,Mount St. Mary's,27,14,13,.519,-6.11,-5.71,10,8,,,,,1943,1954,,,101.9,.281,.361,.504,49.3,54.6,9.5,8.6,.481,16.7,36.8,.182
170,Murray State NCAA,30,20,10,.667,-4.24,-8.17,12,6,,,,,2359,2174,,,109.4,.350,.285,.539,50.7,54.9,10.1,5.6,.498,14.6,36.5,.261
171,Navy NCAA,29,20,9,.690,-3.56,-7.04,10,2,,,,,2097,1956,,,102.5,.339,.249,.508,54.9,59.6,11.9,4.9,.475,17.9,41.7,.231
172,Nebraska,33,18,15,.545,9.70,8.15,7,9,,,,,2407,2356,,,100.9,.390,.181,.527,52.7,50.1,12.5,14.3,.494,20.4,41.4,.262
173,Nevada-Las Vegas,32,22,10,.688,7.73,3.45,11,5,,,,,2340,2203,,,99.9,.451,.272,.512,52.1,55.3,9.9,13.6,.474,18.5,37.3,.297
174,Nevada,31,21,10,.677,3.72,0.49,12,4,,,,,2310,2203,,,106.8,.361,.330,.564,51.4,61.9,7.7,4.7,.531,17.9,33.5,.259
175,New Hampshire,27,7,20,.259,-13.53,-3.30,5,13,,,,,1590,1866,,,86.6,.296,.315,.482,45.8,56.1,6.4,5.4,.460,21.6,27.0,.180
176,New Mexico State,28,19,9,.679,7.14,0.30,12,4,,,,,2235,2006,,,112.4,.416,.359,.587,51.8,45.2,11.1,6.7,.557,18.1,36.5,.293
177,New Mexico NCAA,33,25,8,.758,14.67,3.67,11,5,,,,,2502,2097,,,113.6,.427,.368,.584,51.7,61.8,10.5,9.8,.549,16.7,35.6,.307
178,New Orleans,29,22,7,.759,4.74,-3.95,14,4,,,,,2075,1823,,,,.434,.323,.544,52.2,57.3,,9.1,.517,17.6,,.278
179,Niagara,28,11,17,.393,-7.85,-2.77,5,9,,,,,1950,2092,,,94.7,.384,.308,.520,50.7,60.0,10.9,8.1,.485,22.2,36.4,.259
180,Nicholls State,26,10,16,.385,-13.06,-6.64,7,9,,,,,2037,2116,,,104.7,.323,.363,.535,47.3,53.8,10.1,7.8,.502,16.2,32.7,.229
181,North Carolina-Asheville,28,18,10,.643,-7.11,-5.41,11,3,,,,,1930,1937,,,97.6,.453,.238,.537,50.6,58.7,12.6,10.6,.505,21.2,33.6,.295
182,North Carolina A&T,28,15,13,.536,-9.63,-10.83,11,7,,,,,2015,1965,,,101.0,.377,.268,.510,52.3,50.7,10.8,5.6,.481,18.4,40.1,.241
183,North Carolina-Greensboro,30,10,20,.333,-9.74,-4.14,6,8,,,,,1896,2064,,,97.8,.361,.321,.508,49.5,53.4,9.6,6.9,.476,19.3,35.8,.240
184,North Carolina State,32,17,15,.531,14.26,10.87,4,12,,,,,1914,1749,,,97.0,.322,.331,.515,48.6,49.0,13.1,4.6,.489,18.5,31.7,.209
185,North Carolina-Wilmington,30,16,14,.533,-1.84,0.30,10,6,,,,,1767,1830,,,96.6,.292,.248,.504,46.9,52.2,10.4,4.2,.479,17.0,30.1,.190
186,North Carolina NCAA,35,28,7,.800,22.80,12.09,11,5,,,,,2709,2334,,,111.4,.336,.238,.550,56.4,62.1,10.7,10.9,.524,16.7,43.7,.228
187,North Texas,26,10,16,.385,-5.74,0.18,5,11,,,,,1740,1825,,,94.7,.289,.319,.520,48.6,54.3,10.2,4.7,.495,20.7,29.1,.192
188,Northeastern Illinois,28,16,12,.571,-4.58,-4.43,8,8,,,,,2125,2092,,,,.349,.363,.509,47.2,58.0,,5.2,.477,16.4,,.234
189,Northeastern,27,7,20,.259,-12.22,-3.36,6,12,,,,,1720,1959,,,92.3,.365,.269,.482,51.1,49.9,9.0,5.9,.439,21.1,38.7,.253
190,Northern Arizona,28,21,7,.750,1.87,-5.17,14,2,,,,,2176,1944,,,106.0,.401,.357,.618,51.3,64.2,8.9,6.5,.591,22.8,29.1,.290
191,Northern Illinois,27,12,15,.444,-4.86,-2.16,6,10,,,,,1840,1883,,,100.9,.302,.294,.497,52.6,55.5,8.9,6.7,.467,16.4,38.9,.204
192,Northern Iowa,28,16,12,.571,5.80,4.05,11,7,,,,,1996,1947,,,102.6,.406,.263,.532,49.5,52.6,11.7,7.9,.485,18.0,35.5,.298
193,Northwestern State,28,13,15,.464,-10.82,-9.34,8,8,,,,,2040,2041,,,99.6,.318,.283,.509,53.6,61.4,11.1,4.5,.477,20.0,41.7,.218
194,Northwestern,29,7,22,.241,0.46,8.01,2,16,,,,,1717,1936,,,89.7,.369,.312,.491,50.0,61.9,9.8,5.5,.464,22.7,34.9,.224
195,Notre Dame,30,16,14,.533,9.43,8.16,8,10,,,,,2129,2091,,,97.3,.426,.279,.540,51.4,67.5,10.1,6.9,.507,21.7,33.1,.285
196,Ohio State,27,10,17,.370,8.40,8.66,5,13,,,,,1887,1894,,,99.5,.349,.241,.535,48.4,63.0,10.1,5.2,.507,20.4,35.8,.233
197,Ohio,27,17,10,.630,4.12,1.58,12,6,,,,,1984,1904,,,105.8,.379,.198,.542,54.8,49.1,10.9,6.8,.516,19.4,41.8,.247
198,Oklahoma State,32,17,15,.531,6.95,6.98,7,9,,,,,2222,2223,,,105.2,.324,.283,.554,53.0,60.0,9.1,6.1,.527,19.8,38.3,.224
199,Oklahoma NCAA,30,19,11,.633,13.96,5.03,9,7,,,,,2228,1960,,,107.1,.422,.317,.533,51.1,53.0,12.6,8.4,.487,16.9,39.4,.306
200,Old Dominion NCAA,33,22,11,.667,3.73,-0.45,10,6,,,,,2343,2205,,,101.6,.386,.289,.523,51.1,58.3,11.5,16.6,.491,18.3,37.9,.256
201,Oral Roberts,28,21,7,.750,7.46,-1.85,,,,,,,2106,1810,,,104.9,.390,.276,.557,51.7,60.5,13.1,10.3,.539,20.1,41.0,.241
202,Oregon State,27,7,20,.259,2.09,11.05,3,15,,,,,1864,2054,,,93.2,.404,.300,.511,49.4,54.7,9.5,8.2,.484,22.2,35.2,.250
203,Oregon,28,17,11,.607,13.55,9.40,8,10,,,,,2136,2005,,,103.1,.394,.329,.541,49.6,53.1,11.9,6.7,.514,18.8,35.7,.256
204,Pacific NCAA,30,24,6,.800,8.68,-2.43,12,4,,,,,2186,1800,,,110.7,.385,.394,.572,52.7,65.4,10.4,7.1,.548,17.3,35.1,.256
205,Penn State,27,10,17,.370,3.75,9.16,3,15,,,,,1634,1780,,,92.9,.374,.268,.501,50.8,54.4,8.6,11.6,.464,22.1,37.4,.254
206,Pennsylvania,26,12,14,.462,-2.81,-1.43,8,6,,,,,1740,1776,,,99.1,.383,.382,.530,45.8,53.7,9.3,7.0,.496,17.3,25.3,.262
207,Pepperdine,27,6,21,.222,-5.79,0.21,4,10,,,,,1632,1770,,,89.6,.365,.264,.482,48.0,54.6,10.8,6.8,.456,20.8,31.7,.220
208,Pittsburgh,33,18,15,.545,9.18,8.81,10,8,,,,,2285,2228,,,96.0,.364,.274,.497,48.5,54.6,14.0,11.7,.465,20.2,38.9,.235
209,Portland,27,9,18,.333,-6.61,-0.09,4,10,,,,,1811,1954,,,95.7,.395,.275,.522,46.5,56.8,9.7,5.3,.481,20.7,31.7,.276
210,Prairie View,27,10,17,.370,-21.95,-7.99,7,7,,,,,1947,2186,,,89.5,.378,.259,.475,48.1,45.5,12.2,5.2,.450,21.0,37.4,.222
211,Princeton NCAA,28,24,4,.857,7.18,-3.01,14,0,,,,,1813,1496,,,111.5,.340,.516,.618,46.4,62.4,12.4,5.7,.597,18.2,23.4,.243
212,Providence NCAA,36,24,12,.667,14.18,8.32,10,8,,,,,2755,2525,,72.3,104.4,.388,.287,.537,50.8,59.9,12.7,9.0,.495,17.9,36.1,.280
213,Purdue NCAA,30,18,12,.600,12.24,10.91,12,6,,,,,2162,2122,,,101.1,.432,.296,.522,50.0,60.8,11.7,8.5,.474,19.3,39.1,.312
214,Radford,28,15,13,.536,-8.83,-6.13,8,6,,,,,2047,2072,,,105.2,.325,.333,.559,47.4,61.3,10.3,8.6,.529,18.8,34.0,.231
215,Rhode Island NCAA,30,20,10,.667,16.50,6.40,12,4,,,,,2420,2117,,,110.6,.333,.294,.543,50.3,54.5,12.0,11.1,.514,15.1,38.4,.229
216,Rice,27,12,15,.444,2.03,3.83,6,10,,,,,1799,1793,,,98.0,.337,.230,.506,53.2,62.0,10.8,9.1,.474,19.1,37.0,.228
217,Richmond,28,13,15,.464,-0.30,-1.40,7,9,,,,,1926,1895,,,101.3,.363,.319,.508,51.1,50.4,8.2,8.5,.474,17.6,37.1,.244
218,Rider,28,14,14,.500,-6.25,-6.95,10,8,,,,,1989,1983,,,101.9,.469,.295,.550,51.3,62.9,9.4,7.9,.508,21.4,38.4,.327
219,Robert Morris,27,4,23,.148,-15.34,-4.75,3,15,,,,,1785,2071,,,93.8,.353,.282,.512,48.3,60.5,8.5,4.5,.481,20.4,31.6,.234
220,Rutgers,27,11,16,.407,2.68,7.13,5,13,,,,,1739,1859,,,93.7,.361,.334,.482,46.8,49.7,11.0,9.5,.441,18.6,35.4,.247
221,Sacramento State,26,3,23,.115,-20.69,-0.95,2,14,,,,,1553,2029,,,84.7,.280,.345,.443,47.8,53.5,9.3,7.2,.415,20.3,34.2,.172
222,Saint Francis (PA),27,12,15,.444,-8.11,-7.03,9,9,,,,,1885,1914,,,98.1,.420,.296,.515,54.1,57.9,6.7,8.5,.466,21.2,40.1,.303
223,Saint Joseph's NCAA,33,26,7,.788,12.96,7.71,13,3,,,,,2351,2178,,,105.6,.384,.392,.524,50.4,59.0,10.7,6.5,.485,15.4,35.1,.269
224,Saint Louis,29,11,18,.379,-0.55,3.24,4,10,,,,,1677,1787,,,90.3,.381,.322,.453,48.5,58.6,11.3,3.6,.413,16.2,33.2,.245
225,Saint Mary's (CA) NCAA,31,23,8,.742,3.21,-0.89,10,4,,,,,2188,2017,,,104.5,.469,.364,.568,49.7,70.8,9.6,10.1,.536,20.5,34.2,.318
226,Saint Peter's,28,13,15,.464,-7.34,-4.55,9,5,,,,,1662,1740,,,88.1,.415,.178,.484,50.0,56.4,13.6,9.5,.442,22.5,34.1,.276
227,Sam Houston State,26,8,18,.308,-15.52,-5.52,7,9,,,,,1679,1939,,,95.2,.447,.400,.547,45.8,65.9,8.2,4.5,.509,23.1,29.8,.308
228,Samford,28,19,9,.679,-11.31,-12.88,11,5,,,,,1930,1861,,,102.4,.452,.420,.555,53.8,59.9,5.3,5.8,.512,19.1,30.8,.325
229,San Diego State,27,12,15,.444,-2.13,1.60,4,12,,,,,2054,2134,,,101.3,.464,.344,.522,46.3,48.7,10.9,6.0,.474,16.4,32.9,.328
230,San Diego,28,17,11,.607,2.82,-0.88,8,6,,,,,2013,1871,,,106.2,.463,.301,.568,51.2,60.3,10.4,7.5,.529,19.3,34.8,.329
231,San Francisco,29,16,13,.552,-0.21,-0.60,9,5,,,,,1987,1974,,,105.1,.413,.277,.551,54.0,53.7,8.4,5.4,.516,19.8,40.5,.287
232,San Jose State,27,13,14,.481,-0.35,4.15,5,11,,,,,1825,1929,,,96.7,.365,.234,.493,51.3,52.9,10.5,6.0,.455,18.4,39.1,.248
233,Santa Clara,27,16,11,.593,3.27,0.90,10,4,,,,,1915,1851,,,102.4,.373,.366,.518,51.0,59.3,11.1,2.3,.485,17.7,37.0,.250
234,Seton Hall,28,10,18,.357,3.87,9.24,5,13,,,,,1908,2049,,,91.5,.361,.364,.475,45.0,54.2,12.1,10.0,.440,18.9,32.9,.233
235,Siena,27,9,18,.333,-8.54,-3.88,4,10,,,,,1768,1894,,,93.3,.343,.368,.489,50.4,59.0,9.2,6.8,.450,19.8,34.6,.238
236,South Alabama NCAA,30,23,7,.767,4.03,-4.51,14,4,,,,,1987,1699,,,106.9,.466,.227,.533,55.8,55.2,10.0,11.2,.488,17.9,42.2,.326
237,South Carolina State,28,14,14,.500,-11.60,-9.40,12,6,,,,,1898,1965,,,99.1,.434,.285,.501,51.8,39.8,10.7,5.5,.458,18.7,39.1,.292
238,South Carolina NCAA,32,24,8,.750,14.39,7.01,15,1,,,,,2371,2133,,,109.0,.455,.352,.554,51.9,53.6,10.3,8.0,.516,17.5,37.4,.316
239,South Florida,27,8,19,.296,-3.96,2.23,2,12,,,,,1613,1780,,,88.9,.406,.327,.486,47.3,57.0,11.4,8.0,.445,20.2,27.9,.271
240,Southeast Missouri State,30,12,18,.400,-10.05,-5.12,9,9,,,,,2153,2264,,,95.1,.366,.228,.497,51.3,49.1,9.7,10.6,.470,20.3,37.1,.227
241,Southeastern Louisiana,28,10,18,.357,-19.29,-12.41,7,9,,,,,2054,2211,,,95.7,.360,.374,.497,49.8,45.3,7.5,6.6,.458,18.7,34.6,.248
242,Southern California NCAA,28,17,11,.607,13.38,10.09,12,6,,,,,2229,2137,,,102.1,.451,.304,.537,50.6,55.1,11.9,6.9,.494,20.1,39.3,.315
243,Southern Illinois,30,13,17,.433,2.81,3.41,6,12,,,,,2183,2201,,,101.6,.286,.386,.531,49.8,59.5,10.2,5.6,.511,18.9,35.1,.186
244,Southern Methodist,28,16,12,.571,2.40,1.73,7,9,,,,,1911,1837,,,104.5,.357,.323,.508,50.7,51.1,11.4,5.8,.471,14.7,36.2,.245
245,Southern Mississippi,27,12,15,.444,0.25,0.77,6,8,,,,,1650,1664,,,93.5,.416,.188,.502,52.5,54.5,8.8,7.7,.459,20.6,35.5,.285
246,Southern Utah,26,9,17,.346,-8.03,1.75,,,,,,,1632,1746,,,92.0,.311,.287,.502,48.4,56.2,11.8,7.4,.478,20.7,31.3,.195
247,Southern,27,10,17,.370,-18.56,-11.38,5,9,,,,,2173,2270,,,99.9,.340,.280,.500,46.4,50.7,13.1,4.9,.474,16.7,34.9,.215
248,St. Bonaventure,28,14,14,.500,5.29,5.04,5,11,,,,,1957,1950,,,97.4,.346,.318,.481,47.2,54.7,13.3,11.7,.447,16.2,35.9,.226
249,St. Francis (NY),28,13,15,.464,-13.31,-9.13,7,11,,,,,1821,1938,,,95.3,.344,.332,.500,48.0,46.6,10.3,14.4,.460,18.9,32.1,.243
250,St. John's (NY),27,13,14,.481,8.38,8.27,8,10,,,,,1815,1812,,,96.3,.564,.247,.504,55.5,59.0,9.0,6.7,.449,22.1,44.8,.380
251,Stanford NCAA,30,22,8,.733,19.73,9.05,12,6,,,,,2427,2071,,,111.6,.410,.311,.554,54.3,65.0,9.6,9.5,.508,16.0,40.4,.306
252,Stephen F. Austin,27,12,15,.444,-14.00,-8.12,8,8,,,,,2048,2099,,,95.2,.438,.302,.510,50.3,65.2,14.6,6.5,.474,21.6,37.0,.284
253,Stetson,27,9,18,.333,-15.06,-9.02,5,11,,,,,1680,1801,,,97.1,.507,.278,.531,52.5,58.9,8.5,5.9,.477,21.6,35.8,.363
254,Syracuse,32,19,13,.594,12.88,6.97,9,9,,,,,2397,2208,,,102.3,.315,.317,.517,49.3,58.8,13.6,11.0,.493,17.3,36.2,.202
255,Temple NCAA,31,20,11,.645,14.68,9.04,10,6,,,,,2055,1880,,,105.6,.379,.346,.486,53.5,48.8,12.9,12.9,.449,13.4,41.2,.251
256,Tennessee-Martin,27,11,16,.407,-10.60,-7.04,8,10,,,,,1842,1910,,,94.3,.326,.275,.533,47.7,65.9,13.8,5.9,.503,22.9,32.7,.224
257,Tennessee State,27,9,18,.333,-11.55,-5.99,7,11,,,,,1986,2136,,,96.5,.284,.353,.495,45.4,51.0,11.8,8.9,.472,16.7,30.3,.179
258,Tennessee Tech,28,15,13,.536,-8.27,-7.85,10,8,,,,,2121,2039,,,103.0,.338,.272,.547,54.2,52.0,9.6,13.5,.528,19.8,37.3,.214
259,Tennessee,27,11,16,.407,1.85,6.22,4,12,,,,,1545,1663,,,87.0,.454,.234,.483,52.9,56.9,9.5,11.5,.430,23.9,37.3,.315
260,Texas A&M,27,9,18,.333,2.43,5.66,3,13,,,,,1754,1841,,,92.0,.357,.238,.491,51.3,62.9,12.2,8.4,.464,20.9,35.4,.221
261,Texas-Arlington,27,12,15,.444,-15.30,-8.18,8,8,,,,,1772,1921,,,97.3,.344,.344,.495,49.6,52.3,9.7,5.2,.472,19.0,37.8,.206
262,Texas Christian,35,22,13,.629,10.34,4.00,7,9,,,,,2931,2709,,,108.7,.307,.276,.523,50.3,51.8,10.6,10.1,.488,14.5,39.3,.224
263,Texas-El Paso,26,13,13,.500,2.43,5.30,6,10,,,,,1746,1734,,,102.4,.452,.314,.525,50.5,55.8,8.3,7.7,.474,17.2,33.8,.328
264,Texas-Rio Grande Valley,28,3,25,.107,-17.33,-2.60,1,17,,,,,1554,1902,,,86.2,.387,.339,.463,43.2,61.9,10.4,3.5,.432,22.2,32.2,.233
265,Texas-San Antonio,26,9,17,.346,-14.48,-8.28,4,12,,,,,1946,2069,,,99.7,.409,.289,.532,47.3,59.2,11.3,6.5,.499,19.6,33.2,.272
266,Texas Southern,28,12,16,.429,-15.27,-10.00,6,8,,,,,2014,2130,,,98.7,.369,.352,.489,48.2,49.8,9.3,4.2,.451,16.8,37.0,.248
267,Texas State NCAA,29,16,13,.552,-7.55,-7.73,10,6,,,,,2045,2014,,,100.5,.437,.283,.536,52.7,47.4,9.1,5.5,.493,20.0,35.8,.308
268,Texas Tech,28,19,9,.679,12.51,6.72,10,6,,,,,2243,2081,,,109.6,.415,.301,.569,53.4,58.2,7.9,7.4,.534,18.6,38.1,.294
269,Texas NCAA,30,18,12,.600,12.33,9.46,10,6,,,,,2290,2204,,,101.9,.392,.365,.510,49.2,49.2,12.5,10.6,.472,17.1,36.8,.268
270,Toledo,27,13,14,.481,-0.03,-0.07,6,12,,,,,1940,1906,,,104.2,.481,.318,.560,54.8,54.2,7.8,5.2,.524,21.2,38.7,.329
271,Towson,28,9,19,.321,-7.51,-3.12,5,13,,,,,2087,2210,,,101.4,.461,.285,.558,51.3,54.4,10.5,5.0,.519,21.4,35.6,.322
272,Troy,27,16,11,.593,-9.07,-7.04,10,6,,,,,2137,2180,,,100.6,.314,.381,.512,47.1,50.9,10.1,6.2,.483,16.8,32.8,.210
273,Tulane,31,20,11,.645,7.97,3.00,11,3,,,,,2297,2093,,,102.5,.442,.287,.550,49.6,61.0,14.4,13.4,.525,20.6,36.4,.281
274,Tulsa NCAA,34,24,10,.706,14.99,5.52,12,4,,,,,2463,2141,,,104.1,.436,.338,.530,54.2,61.1,11.4,9.2,.496,19.3,41.4,.287
275,UCLA NCAA,32,24,8,.750,16.48,10.29,15,3,,,,,2558,2360,,,107.7,.473,.203,.583,52.8,57.2,10.9,8.9,.555,20.7,39.0,.318
276,Utah State,29,20,9,.690,4.25,-0.98,12,4,,,,,1990,1781,,,107.9,.499,.219,.554,58.5,51.8,7.5,2.6,.516,18.6,41.6,.340
277,Utah NCAA,33,29,4,.879,17.56,5.44,15,1,,,,,2456,2035,,,110.1,.400,.259,.578,54.7,64.8,9.2,8.1,.543,17.9,35.3,.290
278,Valparaiso NCAA,31,24,7,.774,3.71,-4.98,13,3,,,,,2356,2048,,,110.0,.411,.270,.553,54.0,57.4,11.5,7.0,.523,18.1,41.5,.277
279,Vanderbilt NCAA,31,19,12,.613,11.47,7.70,9,7,,,,,2156,2030,,,101.0,.500,.323,.547,48.2,64.7,14.1,5.0,.500,19.7,33.3,.353
280,Vermont,27,14,13,.519,-8.86,-6.51,7,11,,,,,1853,1908,,,95.1,.388,.333,.479,49.7,55.6,10.2,10.4,.442,16.7,33.3,.250
281,Villanova NCAA,34,24,10,.706,16.64,9.45,12,6,,,,,2552,2309,,,107.3,.436,.291,.547,54.5,57.8,12.1,15.1,.510,19.2,43.2,.302
282,Virginia Commonwealth,27,14,13,.519,2.03,-0.12,9,7,,,,,1910,1852,,,104.0,.379,.290,.537,52.2,63.0,10.1,8.1,.510,18.4,37.2,.247
283,VMI,28,12,16,.429,-11.41,-4.77,7,7,,,,,2170,2187,,,99.9,.344,.312,.505,46.4,45.5,12.9,6.3,.472,16.2,32.6,.232
284,Virginia Tech,31,15,16,.484,6.40,5.10,7,9,,,,,1934,1867,,,98.8,.412,.224,.512,50.0,60.7,11.8,6.8,.475,18.0,35.1,.274
285,Virginia NCAA,31,18,13,.581,14.09,11.38,7,9,,,,,2099,2015,,,103.4,.328,.321,.515,51.0,51.5,8.3,10.8,.485,16.0,36.2,.221
286,Wagner,27,10,17,.370,-11.17,-6.76,7,11,,,,,1952,2071,,,95.7,.349,.265,.489,48.0,57.1,10.9,8.2,.443,17.4,34.2,.254
287,Wake Forest NCAA,31,24,7,.774,21.21,10.53,11,5,,,,,2138,1807,,,106.5,.432,.354,.563,54.3,55.0,6.4,14.3,.530,19.3,36.0,.298
288,Washington State,30,13,17,.433,8.06,7.71,5,13,,,,,2244,2224,,,103.3,.377,.278,.544,48.9,55.4,9.3,7.9,.514,19.1,35.8,.254
289,Washington,28,17,11,.607,10.64,8.09,10,8,,,,,2106,2024,,,101.2,.463,.240,.564,54.6,64.0,9.9,8.2,.527,23.6,41.0,.323
290,Weber State,28,15,13,.536,-3.65,-2.46,9,7,,,,,2191,2223,,,104.7,.381,.325,.553,49.0,61.3,9.9,5.0,.521,18.3,33.7,.263
291,West Virginia,31,21,10,.677,14.47,7.38,11,7,,,,,2502,2282,,,108.0,.373,.219,.536,51.8,56.3,13.3,8.6,.511,17.1,40.0,.241
292,Western Carolina,27,14,13,.519,-11.07,-4.45,7,7,,,,,1990,2011,,,99.9,.439,.206,.539,50.0,54.4,9.9,6.3,.491,20.6,36.3,.322
293,Western Illinois,29,19,10,.655,-1.30,-5.71,11,5,,,,,2191,2014,,,108.1,.353,.285,.566,53.1,65.7,10.3,8.1,.551,19.1,38.0,.220
294,Western Kentucky,27,12,15,.444,-4.66,-1.12,9,9,,,,,1900,1967,,,100.9,.272,.366,.528,47.0,55.2,10.1,5.6,.489,17.8,32.9,.215
295,Western Michigan,28,14,14,.500,-0.40,0.81,9,9,,,,,1874,1908,,,,.382,.221,.542,46.8,51.7,,5.9,.501,0.0,31.5,.277
296,Wichita State,27,14,13,.519,5.88,1.66,8,10,,,,,1815,1701,,,101.7,.375,.376,.522,54.4,63.0,9.9,4.8,.487,18.8,38.0,.255
297,William & Mary,28,12,16,.429,-3.60,-1.15,8,8,,,,,1831,1878,,,,.359,.331,.488,47.9,49.9,,7.6,.454,0.0,35.0,.235
298,Winthrop,27,12,15,.444,-15.05,-7.05,5,9,,,,,1925,1942,,,,.391,.319,.508,49.2,55.2,,9.7,.480,0.0,34.5,.246
299,Wisconsin NCAA,28,18,10,.643,13.20,9.41,11,7,,,,,1654,1548,,,93.9,.409,.292,.498,51.8,58.2,10.6,10.5,.459,20.3,35.2,.271
300,Wofford,27,7,20,.259,-15.40,-4.07,,,,,,,1754,1988,,,,.322,.361,.466,44.8,49.9,,5.6,.436,0.0,31.2,.203
301,Wright State,27,7,20,.259,-6.83,0.29,5,11,,,,,1763,1910,,,,.234,.299,.512,47.0,54.8,,3.7,.486,0.0,32.8,.166
302,Wyoming,28,12,16,.429,2.13,2.68,8,8,,,,,2023,2029,,,,.514,.337,.539,48.1,51.6,,7.4,.481,0.0,37.4,.379
303,Xavier NCAA,29,23,6,.793,16.14,5.28,13,3,,,,,2413,2098,,75.0,108.2,.469,.264,.575,54.8,63.5,14.3,-2.2,.533,20.9,43.3,.340
304,Yale,26,10,16,.385,-11.38,-6.70,3,11,,,,,1640,1732,,,,.354,.303,.501,51.5,52.8,,7.3,.469,0.0,32.9,.233
305,Youngstown State,27,9,18,.333,-10.49,-7.10,4,12,,,,,1713,1778,,,,.360,.328,.507,50.2,54.4,,4.1,.470,0.0,35.5,.248
